"id","date","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","yr_built","zipcode","latitude","longitude","census_tract","tract_name","pop_estimate","median_age","LHS","HS","SC","BACH","GRAD","prop_poverty"
5101402488,20140624,438000,3,1.75,1520,6380,1,0,1948,98115,47.6950012084911,-122.303980654381,53033002100,"Census Tract 21, King County, Washington",4210,38.7,0.03,0.11,0.2,0.36,0.3,0.05
9435300030,20140528,550000,4,1,1660,34848,1,0,1933,98052,47.6621077916607,-122.132068234387,53033022802,"Census Tract 228.02, King County, Washington",5030,35.7,0.02,0.1,0.23,0.34,0.31,0.07
7922800400,20140827,951000,5,3.25,3250,14342,2,0,1968,98008,47.5879925562931,-122.115920688669,53033023403,"Census Tract 234.03, King County, Washington",4119,45.1,0.04,0.13,0.25,0.35,0.24,0.07
3394100030,20140909,975000,4,2.5,2720,11049,2,0,1989,98004,47.5815053857484,-122.191934188061,53033023900,"Census Tract 239, King County, Washington",7179,43,0.04,0.08,0.21,0.44,0.24,0.12
1531000030,20150323,720000,4,2.5,3450,39683,2,0,2002,98010,47.3420050222684,-122.024968196293,53033031605,"Census Tract 316.05, King County, Washington",3867,44.1,0.1,0.27,0.37,0.19,0.07,0.06
2791500270,20140522,243500,4,2.5,1980,7403,2,0,1988,98023,47.2896902348808,-122.372037433527,53033030312,"Census Tract 303.12, King County, Washington",5008,33.3,0.08,0.26,0.46,0.15,0.05,0.1
722079104,20140711,314000,3,1.75,1810,41800,1,0,1980,98038,47.4108936856407,-121.958071945987,53033032003,"Census Tract 320.03, King County, Washington",5273,47.7,0.05,0.22,0.4,0.22,0.1,0.07
2767602356,20150126,675000,4,3.5,2140,2278,3,0,2005,98107,47.6734066047934,-122.379954331285,53033003300,"Census Tract 33, King County, Washington",6987,33.9,0.02,0.06,0.25,0.44,0.24,0.06
6140100875,20150415,420000,3,1,1060,8097,1,0,1923,98133,47.7144072315071,-122.351057278,53033000402,"Census Tract 4.02, King County, Washington",5300,47.9,0.06,0.16,0.25,0.37,0.16,0.07
7920100045,20140516,350000,1,1,700,5100,1,0,1942,98115,47.6790029854592,-122.299975602738,53033003800,"Census Tract 38, King County, Washington",2151,37.8,0.03,0.08,0.2,0.31,0.38,0.09
4330600435,20150316,284000,3,1.75,1560,21000,1,0,1954,98166,47.4775999489166,-122.337074730409,53033027500,"Census Tract 275, King County, Washington",4926,41.3,0.2,0.3,0.32,0.15,0.03,0.18
1999700045,20140502,313000,3,1.5,1340,7912,1.5,0,1955,98133,47.7658017346728,-122.338953314762,53033020300,"Census Tract 203, King County, Washington",7065,38,0.15,0.14,0.34,0.28,0.1,0.11
8123100045,20150414,470000,4,3,2380,5125,1.5,0,1925,98126,47.5383961481902,-122.376070689585,53033011500,"Census Tract 115, King County, Washington",4421,39.6,0.06,0.19,0.28,0.33,0.14,0.07
2264500350,20150418,615000,4,1,1330,2400,1.5,0,1901,98103,47.649996958874,-122.339957568699,53033005400,"Census Tract 54, King County, Washington",5683,31.5,0,0.03,0.18,0.47,0.32,0.09
7796450200,20140515,256883,3,2.5,1690,5025,2,0,2003,98023,47.2778978147479,-122.347005128866,53033030304,"Census Tract 303.04, King County, Washington",3644,38.9,0.08,0.26,0.34,0.23,0.09,0.08
1222069094,20141014,385000,3,1.75,1350,155073,1,0,1969,98038,47.4057955826402,-121.994000707072,53033032003,"Census Tract 320.03, King County, Washington",5273,47.7,0.05,0.22,0.4,0.22,0.1,0.07
8682281200,20150309,479950,2,2,1510,6516,1,0,2005,98053,47.707608945025,-122.013092097618,53033032327,"Census Tract 323.27, King County, Washington",4066,64,0.01,0.1,0.24,0.33,0.31,0.03
2557000400,20150409,272500,3,2.5,2070,9900,1,0,1979,98023,47.2988010172918,-122.371068947441,53033030312,"Census Tract 303.12, King County, Washington",5008,33.3,0.08,0.26,0.46,0.15,0.05,0.1
3260800030,20140811,335000,3,2.5,2440,7632,2,0,1998,98003,47.349396389366,-122.300984694235,53033030004,"Census Tract 300.04, King County, Washington",8302,30.3,0.2,0.3,0.34,0.1,0.05,0.22
3416600800,20150209,834000,4,2.5,2370,4000,1.5,0,1928,98144,47.6010017880944,-122.294030587102,53033008900,"Census Tract 89, King County, Washington",5729,39.6,0.05,0.13,0.23,0.37,0.22,0.07
7520000520,20140905,232000,2,1,1240,12092,1,0,1922,98146,47.4957066528698,-122.35204062546,53033026700,"Census Tract 267, King County, Washington",5251,42.4,0.16,0.19,0.31,0.22,0.12,0.13
2877103726,20140722,791500,4,2,1510,3500,1.5,0,1911,98103,47.6793910633478,-122.356907629009,53033003500,"Census Tract 35, King County, Washington",4051,39,0.01,0.07,0.23,0.33,0.36,0.08
3969300030,20140723,165000,4,1,1000,7134,1,0,1943,98178,47.4896984870816,-122.240084767971,53033026100,"Census Tract 261, King County, Washington",8310,36.5,0.21,0.31,0.38,0.07,0.03,0.14
2757000030,20140922,855000,4,2.75,2270,10460,2,0,1965,98040,47.5602948743819,-122.222089056034,53033024601,"Census Tract 246.01, King County, Washington",4477,47.1,0.01,0.04,0.14,0.43,0.39,0.01
6838700060,20141204,280000,3,2.25,1430,7222,2,0,1993,98056,47.5111958373783,-122.19001505778,53033025200,"Census Tract 252, King County, Washington",8588,38.6,0.13,0.2,0.32,0.24,0.11,0.1
8155830060,20140811,297000,3,2.25,1450,7562,2,0,1994,98056,47.5038050484119,-122.188986088665,53033025200,"Census Tract 252, King County, Washington",8588,38.6,0.13,0.2,0.32,0.24,0.11,0.1
1678400105,20150212,339000,4,1.5,2390,7480,1.5,0,1920,98178,47.504008814989,-122.22696942054,53033026002,"Census Tract 260.02, King County, Washington",8590,32.3,0.17,0.24,0.33,0.19,0.07,0.2
822079033,20150422,350000,3,1.5,1250,219978,1,0,1980,98038,47.4056039647975,-121.954901633442,53033032003,"Census Tract 320.03, King County, Washington",5273,47.7,0.05,0.22,0.4,0.22,0.1,0.07
7905370390,20141009,475000,5,2.5,2340,7200,1,0,1975,98034,47.7205958002788,-122.21106651554,53033022202,"Census Tract 222.02, King County, Washington",7245,36.2,0.03,0.12,0.32,0.37,0.17,0.05
3775300030,20141231,333500,3,1.75,1220,9732,1,0,1965,98011,47.7736000039957,-122.213922339592,53033021803,"Census Tract 218.03, King County, Washington",4904,41.2,0.02,0.16,0.37,0.28,0.17,0.13
2122039094,20141126,705000,3,3,1970,20978,2,1,1980,98070,47.3843963309045,-122.437914570176,53033027702,"Census Tract 277.02, King County, Washington",4745,53.2,0.02,0.19,0.24,0.28,0.26,0.03
9828702519,20140512,490000,2,2.5,1230,1391,2,0,2004,98112,47.6192068388697,-122.30109079205,53033007700,"Census Tract 77, King County, Washington",5308,33.6,0.02,0.13,0.19,0.37,0.28,0.11
9238901420,20150202,442000,3,1,1190,5100,1,0,1941,98136,47.5345940962127,-122.385035968327,53033011600,"Census Tract 116, King County, Washington",6899,45.7,0.04,0.13,0.28,0.36,0.2,0.04
925059288,20150507,750000,3,2.5,2400,7745,2,0,2001,98033,47.6734012383274,-122.172982673878,53033022604,"Census Tract 226.04, King County, Washington",4895,37.9,0.03,0.13,0.27,0.34,0.23,0.03
1521069070,20150218,204000,3,1,1040,7405,1,0,1971,98010,47.3105004946642,-122.020996068504,53033031603,"Census Tract 316.03, King County, Washington",6305,36.1,0.07,0.24,0.36,0.22,0.1,0.07
4025300135,20150508,451000,3,1.75,1790,9813,2,0,1949,98155,47.749002380659,-122.305063445146,53033020500,"Census Tract 205, King County, Washington",6608,41.1,0.07,0.12,0.37,0.26,0.18,0.09
3624079046,20141028,460000,4,3,2230,108900,1,0,1978,98065,47.5199999769171,-121.844988486344,53033032703,"Census Tract 327.03, King County, Washington",2376,36.4,0.08,0.21,0.36,0.28,0.08,0.02
1921069084,20140707,404950,4,2.25,2340,217014,1,0,1982,98092,47.2952983436846,-122.083026518517,53033031204,"Census Tract 312.04, King County, Washington",6169,50.2,0.06,0.27,0.36,0.24,0.08,0.04
7203102050,20140728,435000,3,2.5,1840,5680,2,0,2008,98053,47.6969018245957,-122.025934520415,53033032329,"Census Tract 323.29, King County, Washington",9212,35.9,0.02,0.05,0.17,0.39,0.38,0.02
192460060,20140715,330000,3,1.75,1510,15744,1,0,1985,98045,47.4759942283083,-121.755018746422,53033032704,"Census Tract 327.04, King County, Washington",6641,39.3,0.08,0.22,0.33,0.28,0.09,0.15
4233400340,20140820,185000,3,1.75,1430,10816,2,0,1994,98010,47.3122055452902,-121.996056504601,53033031603,"Census Tract 316.03, King County, Washington",6305,36.1,0.07,0.24,0.36,0.22,0.1,0.07
240000058,20150408,469000,4,2.75,3550,13938,1,0,1966,98188,47.4249938003241,-122.283097957052,53033028802,"Census Tract 288.02, King County, Washington",6954,31.1,0.2,0.26,0.34,0.13,0.06,0.34
5631500868,20150417,590000,4,3.5,3100,15842,2,0,1996,98028,47.7466018068508,-122.241954925427,53033022101,"Census Tract 221.01, King County, Washington",4662,42.4,0.01,0.17,0.25,0.33,0.25,0.1
7812800565,20140814,289500,3,1,960,6400,1,0,1944,98178,47.495990275878,-122.23899997195,53033026001,"Census Tract 260.01, King County, Washington",5950,41.7,0.13,0.21,0.25,0.28,0.13,0.06
1959701890,20140729,865000,4,1.75,1800,4180,2,0,1921,98102,47.6461939441401,-122.317980384273,53033006100,"Census Tract 61, King County, Washington",5316,33.2,0.01,0.04,0.17,0.49,0.3,0.04
2346200030,20150105,802541,5,2.75,2990,6768,2,0,2014,98006,47.5461999746564,-122.181979009761,53033024702,"Census Tract 247.02, King County, Washington",7528,42.6,0.03,0.16,0.25,0.31,0.25,0.08
9477200560,20150413,440000,3,1.75,1530,7245,1,0,1984,98034,47.731003363256,-122.190991829297,53033022003,"Census Tract 220.03, King County, Washington",4831,36.2,0.06,0.2,0.32,0.3,0.12,0.07
3793500550,20140808,289950,3,2.5,1670,6186,2,0,2002,98038,47.3668055765772,-122.031096446777,53033032011,"Census Tract 320.11, King County, Washington",4307,36.8,0.03,0.23,0.4,0.24,0.11,0.03
1771000890,20140917,305000,3,1,1160,9750,1,0,1967,98077,47.7422065134438,-122.072923771854,53033032311,"Census Tract 323.11, King County, Washington",6192,42.9,0.02,0.13,0.3,0.32,0.24,0.04
8146100270,20150324,824000,4,2.25,2490,9864,1,0,1961,98004,47.6050962782252,-122.194957783454,53033023801,"Census Tract 238.01, King County, Washington",2749,38.6,0.03,0.08,0.23,0.34,0.32,0.08
1623300160,20140506,450000,2,2,1100,3000,1.5,0,1912,98117,47.6796989931488,-122.361978826785,53033002900,"Census Tract 29, King County, Washington",4744,40.2,0.02,0.1,0.18,0.38,0.32,0.04
8081020370,20140709,1355000,4,3.5,3550,11000,1,0,1999,98006,47.5505950868351,-122.13402017191,53033024903,"Census Tract 249.03, King County, Washington",7146,44,0.02,0.08,0.17,0.42,0.32,0.03
7843500070,20141118,308000,4,2.25,1960,12243,2,0,1989,98042,47.3405008805869,-122.058012814339,53033031601,"Census Tract 316.01, King County, Washington",5567,38.9,0.06,0.2,0.37,0.27,0.09,0.05
6799300270,20140806,310950,4,2.5,2030,4997,2,0,2004,98031,47.3929943721221,-122.184028231752,53033029406,"Census Tract 294.06, King County, Washington",5222,36.9,0.09,0.21,0.34,0.24,0.12,0.08
